latitude,longitude
12.0736293,79.3491587
10.242214,77.503853
8.722214,77.681449
10.452725,77.507644
8.707137,77.735942
8.722635,77.659304
8.726675,77.738925
10.484827,77.743598
13.125328,79.914986
10.7869994,79.1378
11.152266,76.946892
13.078858,80.122929
8.297302,77.29877
8.282572,77.321331
11.624971,77.327418
10.803679,79.137969
10.781658,79.149186
10.790808,79.117741
10.778353,79.274018
14.0217,74.9974
10.960658,79.379096
11.032742,79.505915
10.984791,79.482176
26.895207,83.363742
10.959262,79.368238
10.970758,79.362083
12.872455,80.051356
10.902019,79.20295
10.440081,79.313776
24.26538,86.648017
10.258409,79.161518
9.032227,77.388366
9.101548,77.392282
9.004999,77.430544
9.002,77.3462
8.9704,77.3036
9.077635,77.343412
11.523747,79.387563
11.36485,79.131818
11.414989,79.279732
9.344,77.435
9.174499,77.395648
11.603514,79.334142
11.740986,79.671763
11.62923,79.442571
9.374597,77.426523
11.4869,79.6111
11.3065,79.627
11.773328,79.545331
11.713468,79.769246
9.155657,77.469663
9.0909,77.3482
0,0
0,0
10.875535,78.75701
10.605333,78.46912
10.606374,78.428831
10.467999,78.455595
10.448915,78.398442
10.366499,78.339803
20.56221,74.51051
20.09012,73.40229
20.1022,73.1751
20.1018,73.2207
20.09011,73.40228
19.88551,73.53366
19.88549,73.53364
11.251843,78.472696
20.051,73.1821
20.0415,73.2239
19.5612,73.3328
19.5404,73.3244
11.150956,78.596077
19.8855,73.53365
19.88552,73.53367
20.0715,73.2346
20.0509,73.1735
19.5842,73.2912
20.09009,73.40226
20.09643,73.88403
20.09643,73.88403
19.88549,73.53364
20.0901,73.40227
20.0722,73.3008
19.73761,73.5498
19.4855,73.2857
20.0615,73.2838
20.09009,73.40226
19.5732,73.3033
19.4732,73.2746
19.88549,73.53364
20.0658,73.2715
20.0513,73.1821
20.0042,73.3321
20.0337,73.2318
19.5601,73.3156
19.99885,73.53121
19.7376,73.54979
20.0715,73.2346
20.09011,73.40228
19.5819,73.3319
20.09011,73.40228
20.0543,73.3255
20.24432,73.81662
20.07441205,75.93766193
0,0
20.25921469,76.1306815
20.26071498,75.98738871
9.3713,78.833559
10.663307,78.596013
9.233583,78.787618
10.458111,78.703048
10.294671,78.703458
9.367381,78.829667
10.49316,78.774151
10.44748,78.741953
10.379204,78.715116
10.459453,78.681335
10.299093,78.704253
11.744901,78.030701
11.6898,77.8591
11.663145,78.476615
11.731604,78.585262
11.715438,78.317364
8.275301,77.888889
11.789688,78.026453
8.60769,77.464651
12.932063,79.333464
12.924955,79.366857
13.0649,77.9825
12.98954,78.69855
12.94655,78.76577
12.69293,78.62049
12.78196,78.68938
12.93371,78.7205
